 ,Area,Mean,Min,Max,X,Y
1,0.000,204,204,204,0.655,0.006
2,0.000,255,255,255,5.794,7.022E-4
3,0.000,189,189,189,9.432,0.003
4,0.000,189,189,189,14.161,0.003
5,0.000,196,196,196,18.236,0.004
6,0.000,189,189,189,20.782,0.064
7,0.000,165,165,165,22.310,0.224
8,0.000,182,182,182,23.256,0.420
9,0.000,220,220,220,23.838,0.568
10,0.000,255,255,255,24.566,0.767
11,0.000,255,255,255,25.221,0.898
12,0.000,255,255,255,25.948,0.976
13,0.000,164,164,164,27.040,0.997
14,0.000,191,191,191,29.732,1.001
15,0.000,182,182,182,35.116,0.997
16,0.000,255,255,255,40.719,0.995
